course_id,title,job_role,skills_required,sub_skills_required,description
1,Explore Prototyping For Designer: Adobe,UI/UX Designer,"Prototyping, Wireframing","Figma, Adobe XD","This course covers essential skills for the role of UI/UX Designer. Skills required: Prototyping, Wireframing. Sub-skills required: Figma, Adobe XD."
2,Explore Bug For Tester: Bugzilla,Tester,"Testing Techniques, Bug Tracking","Bugzilla, Selenium","This course covers essential skills for the role of Tester. Skills required: Testing Techniques, Bug Tracking. Sub-skills required: Bugzilla, Selenium."
3,Explore Css For Developer: Sass,Frontend Developer,"JavaScript, CSS","Webpack, Sass","This course covers essential skills for the role of Frontend Developer. Skills required: JavaScript, CSS. Sub-skills required: Webpack, Sass."
4,A Guide To Automation For DevOps: Jenkins,DevOps,"Automation, Continuous Deployment",Jenkins,"This course covers essential skills for the role of DevOps. Skills required: Automation, Continuous Deployment. Sub-skills required: Jenkins."
5,Advanced Techniques In Design For Designer: Adobe,UI/UX Designer,Design Thinking,Adobe XD,This course covers essential skills for the role of UI/UX Designer. Skills required: Design Thinking. Sub-skills required: Adobe XD.
6,Learn Javascript For Developer: Bootstrap,Web Developer,JavaScript,"Vue.js, Bootstrap","This course covers essential skills for the role of Web Developer. Skills required: JavaScript. Sub-skills required: Vue.js, Bootstrap."
7,Explore Design For Engineer: Docker,Software Engineer,"Software Design, Programming","Git, Docker","This course covers essential skills for the role of Software Engineer. Skills required: Software Design, Programming. Sub-skills required: Git, Docker."
8,A Guide To Automation For DevOps: Docker,DevOps,"Automation, Continuous Integration","Docker, Jenkins","This course covers essential skills for the role of DevOps. Skills required: Automation, Continuous Integration. Sub-skills required: Docker, Jenkins."
9,Mastering Automation For DevOps: Docker,DevOps,"Automation, Continuous Integration",Docker,"This course covers essential skills for the role of DevOps. Skills required: Automation, Continuous Integration. Sub-skills required: Docker."
10,Learn Techniques For Tester: Testrail,Tester,Testing Techniques,TestRail,This course covers essential skills for the role of Tester. Skills required: Testing Techniques. Sub-skills required: TestRail.
11,Learn Management For Admin: Scripting,Admin,Network Management,Scripting,This course covers essential skills for the role of Admin. Skills required: Network Management. Sub-skills required: Scripting.
12,Mastering Bug Tracking For Tester: Bugzilla,Tester,Bug Tracking,"Bugzilla, TestRail","This course covers essential skills for the role of Tester. Skills required: Bug Tracking. Sub-skills required: Bugzilla, TestRail."
13,Explore Continuous For DevOps: Jenkins,DevOps,Continuous Integration,Jenkins,This course covers essential skills for the role of DevOps. Skills required: Continuous Integration. Sub-skills required: Jenkins.
14,Learn Excel For Analyst: Matplotlib,Data Analyst,Excel,Matplotlib,This course covers essential skills for the role of Data Analyst. Skills required: Excel. Sub-skills required: Matplotlib.
15,Mastering Bug For Tester: Bugzilla,Tester,Bug Tracking,Bugzilla,This course covers essential skills for the role of Tester. Skills required: Bug Tracking. Sub-skills required: Bugzilla.
16,Explore Agile For Master: Confluence,Scrum Master,Agile Methodology,"Stand-ups, Confluence","This course covers essential skills for the role of Scrum Master. Skills required: Agile Methodology. Sub-skills required: Stand-ups, Confluence."
17,Explore Excel For Analyst: Tableau,Data Analyst,Excel,Tableau,This course covers essential skills for the role of Data Analyst. Skills required: Excel. Sub-skills required: Tableau.
18,Understanding Sql For Data: Kafka,Data Engineer,SQL,Kafka,This course covers essential skills for the role of Data Engineer. Skills required: SQL. Sub-skills required: Kafka.
19,Learn Automation For DevOps: Docker,DevOps,"Automation, Continuous Integration","Jenkins, Docker","This course covers essential skills for the role of DevOps. Skills required: Automation, Continuous Integration. Sub-skills required: Jenkins, Docker."
